accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-945.8480,658.3921,-185.7425,40127.5156,26626.2597,116287.5390
-1343.1881,801.0224,-22.5623,57006.2734,115570.0390,274750.0937
-1602.1058,881.1491,101.9572,35542.5117,130523.7890,286685.1250
-1101.7106,402.9504,15.4887,43015.0156,132755.0468,286685.1250
-299.6517,252.2099,126.1659,-8645.0039,109698.7968,203848.8125
-13.0495,846.6348,32.9287,-45570.0195,56000.0195,52710.0156
39.5755,1051.5858,18.5377,-17622.5058,22671.2597,6151.2524
-979.2645,-11.1592,300.0785,-6702.5019,-7280.0024,-13133.7539
-986.8259,-11.8909,330.1412,-12442.5048,-10412.5039,-11042.5039
-1003.4122,-36.7704,54.6373,-15662.5058,-21805.0078,656.2502
-984.6917,206.4755,79.1510,21840.0078,-1347.5004,25838.7578
-1132.5661,843.1590,97.3228,22977.5078,23240.0078,159608.8125
-1401.7281,909.4434,-109.2747,26985.0078,60803.7656,286685.1250
-1465.6343,678.6981,65.5526,75250.0234,126831.2890,286685.1250
-928.8957,320.3236,333.0682,47013.7656,160860.0625,286685.1250
-308.1278,391.8522,246.5998,-22671.2597,105070.0312,187976.3125
15.6716,631.0125,96.2861,-48851.2695,31403.7597,39996.2656
55.9179,840.9028,-5.6101,-20685.0078,-3465.0012,-24893.7597
-41.7098,961.3367,92.8103,-36277.5117,-43636.2695,-60375.0234
-919.9318,-54.0275,415.8170,-10150.0039,-10316.2529,1522.5004
-919.9318,-54.0275,415.8170,-10150.0039,-10316.2529,1522.5004
-966.0931,195.1943,37.5022,16003.7558,-24543.7578,34177.5117
-1048.4758,574.7286,-36.6485,21411.2578,15548.7558,129508.7968
-1426.4248,751.5682,9.4518,73482.5312,89468.7812,274986.3750
-1715.8928,958.7145,247.8803,85811.2812,112455.0390,286685.1250
-1154.6406,243.4898,155.3749,76553.7812,128003.8046,286685.1250
-232.6355,84.7610,311.4206,17762.5058,96853.7812,191222.5625
52.4421,760.8371,135.8006,-24570.0097,27107.5097,19040.0078
-941.8233,49.6370,491.1262,-31640.0136,-13011.2548,16318.7558
-941.8233,49.6370,491.1262,-31640.0136,-13011.2548,16318.7558
-946.1528,228.9158,115.3116,12871.2548,-19285.0078,38263.7656
-1022.3768,735.8356,-213.9149,58240.0195,41693.7695,125615.0390
-1430.0224,984.6307,-32.1970,101053.7890,128275.0468,264547.6250
-1457.0971,817.3648,207.9390,82538.7734,153623.8125,286685.1250
-721.6885,190.3160,119.6411,50566.2695,105026.2890,286685.1250
-968.2272,43.7221,337.5197,6483.7519,-5398.7519,-586.2503
-968.2272,43.7221,337.5197,6483.7519,-5398.7519,-586.2503
-973.8373,25.4283,269.8328,7866.2534,-10360.0039,15303.7568
-985.9723,360.8138,11.5860,25060.0097,4007.5014,55063.7695
-1175.3734,841.8173,-15.7326,66045.0234,63262.5273,186156.3281
-1470.8175,882.9174,33.7215,63953.7773,111842.5468,286685.1250
-1295.6245,626.8048,82.4438,57671.2695,130663.8046,286685.1250
-568.6308,211.6587,55.7350,31955.0117,144523.8125,285433.8437
-51.5884,664.9779,220.9885,-24421.2597,104475.0390,133936.2968
103.9085,847.1226,100.1888,-21271.2597,36067.5156,31605.0117
-1013.5348,230.1354,227.6962,5040.0019,1067.5003,15286.2539
-1023.0476,235.0747,221.1715,22190.0078,1505.0004,20728.7578
-993.8386,296.9076,159.8874,20238.7578,12390.0048,56988.7695
-1011.7664,377.4611,68.9674,59001.2734,49043.7695,93047.5312
-1103.6010,576.8629,49.6980,72782.5312,79695.0312,147910.0468
-1119.8214,765.2276,67.5649,60681.2734,92207.5312,237212.5781
-910.1141,674.7346,-7.5004,47302.5156,93660.0312,284506.3750
-558.9960,755.3490,-107.9331,10841.2529,88453.7812,262526.3437
-256.0516,678.0883,-142.7522,28621.2597,88235.0312,184362.5625
-18.3547,744.7996,8.5981,2887.5012,62868.7734,82687.5312
-950.4214,88.5418,302.9445,-15391.2568,-10430.0039,-9292.5039
-919.3220,161.5338,299.4078,-15391.2568,-10430.0039,-6597.5024
-965.7272,538.1412,96.7130,-11611.2539,-10325.0039,60961.2695
-1119.9434,736.6893,-258.7956,32952.5117,77752.5234,183925.0625
-1541.9802,1040.3656,-69.8212,67173.7734,167518.8125,286685.1250
-1419.7780,864.6237,139.7642,61503.7656,189315.0781,286685.1250
-626.8659,221.3544,-17.6840,34868.7617,141347.5468,286641.3437
-7.6834,419.3537,15.3058,-40162.5156,112253.7890,125028.7890
116.8971,873.6486,129.8856,-33250.0117,36933.7617,17123.7558
113.2383,920.5416,-100.0668,-12381.2548,-18768.7578,-14927.5048
-960.7268,48.2345,302.2738,-26801.2597,-11453.7539,-9686.2539
-950.4822,106.4087,279.2846,-18917.5058,-13063.7548,-6422.5024
-987.6796,486.1869,20.9159,-27230.0097,-3675.0012,56271.2734
-1206.5339,770.9597,-194.4016,63717.5273,101141.2890,213141.3437
-1494.3555,734.3721,-92.4444,68005.0234,148995.0625,286685.1250
-1278.6112,690.4672,69.2723,10692.5039,143368.7968,286685.1250
-571.7408,381.9736,-84.4561,-6370.0024,120076.2890,279238.8750
-83.6634,494.0533,21.4647,-20422.5078,94692.5312,121476.2812
50.0639,840.2930,112.0797,-38692.5117,23047.5078,15303.7568
-12.2568,847.9763,6.4638,-9432.5029,-23651.2578,-30905.0097
-62.3207,879.0147,-91.4688,-2625.0007,-33442.5117,-55457.5195
