accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-1018.9619,-53.6617,44.1489,-122.5000,621.2503,-332.5001
-1019.4498,-52.6250,44.4538,-105.0000,-621.2503,-1618.7506
-1018.9010,-52.7470,44.3928,-78.7500,-332.5001,-1190.0004
-1018.6571,-55.0642,46.2222,-96.2500,-175.0001,-1216.2504
-1020.6694,-53.4787,43.7830,-131.2500,350.0001,-586.2503
-1018.2302,-54.0885,43.7830,-96.2500,-61.2500,-1120.0004
-1019.6327,-54.8813,45.6124,-113.7500,105.0000,-761.2503
-1018.9619,-52.4421,44.4538,-87.5000,-568.7503,-1557.5006
-1017.9253,-54.8813,46.4052,-96.2500,-568.7503,-1522.5004
-1020.7913,-53.9056,45.2465,-122.5000,140.0001,-892.5004
-1017.1326,-55.5520,45.1246,-87.5000,-122.5000,-1032.5004
-1017.6813,-54.1495,45.9173,-87.5000,-105.0000,-1146.2504
-1019.0230,-56.4667,46.1612,-105.0000,-105.0000,-1041.2503
-1018.4132,-52.9299,44.5758,-122.5000,262.5001,-805.0003
-1018.2911,-54.0275,45.5514,-113.7500,-332.5001,-1338.7504
-1018.4132,-53.8446,45.3685,-96.2500,-507.5002,-1461.2506
-1018.4132,-55.3691,46.8320,-113.7500,131.2500,-918.7503
-1019.2669,-52.0152,44.4538,-96.2500,385.0001,-612.5003
-1017.9863,-52.4421,45.8563,-113.7500,-481.2502,-1365.0004
-1018.7180,-55.0642,45.3685,-87.5000,-122.5000,-1137.5004
-1019.2669,-54.4544,45.2465,-122.5000,-288.7501,-1303.7504
-1020.0596,-54.8203,44.5148,-140.0001,131.2500,-883.7503
-1017.7424,-51.5274,45.4905,-122.5000,8.7500,-971.2503
-1018.5961,-54.5764,45.4905,-78.7500,-315.0001,-1242.5004
-1019.6937,-53.6617,44.9416,-122.5000,411.2502,-770.0003
-1017.7424,-54.3324,45.5514,-87.5000,-420.0002,-1286.2504
-1017.9253,-54.8813,45.9783,-96.2500,-17.5000,-1085.0003
-1018.0473,-52.1372,44.6368,-87.5000,122.5000,-840.0003
-1019.0230,-55.3691,44.8807,-122.5000,-262.5001,-1286.2504
-1019.0839,-52.9909,45.8563,-105.0000,52.5000,-840.0003
-1018.0473,-52.9909,44.0879,-105.0000,-218.7501,-1242.5004
-1018.9010,-54.9422,46.8930,-78.7500,-8.7500,-988.7504
-1018.9619,-53.2348,43.4781,-96.2500,280.0001,-726.2503
-1018.1693,-53.9056,46.7100,-87.5000,-385.0001,-1268.7504
-1017.4985,-54.2105,45.4295,-96.2500,-26.2500,-1102.5003
-1019.0230,-52.2591,44.3928,-105.0000,-420.0002,-1426.2504
-1017.9863,-55.3081,46.2832,-96.2500,-236.2501,-1172.5004
-1017.1326,-53.2958,45.3685,-78.7500,288.7501,-726.2503
-1017.6205,-53.4177,43.4781,-96.2500,96.2500,-1023.7503
-1018.5961,-53.2348,45.6734,-96.2500,-192.5001,-1076.2503
-1017.8033,-54.0885,45.2465,-78.7500,-183.7501,-1181.2503
-1017.4985,-55.6740,47.4418,-87.5000,-61.2500,-971.2503
-1018.2911,-51.1005,43.3562,-105.0000,656.2502,-437.5002
-1019.2058,-52.6860,42.7464,-78.7500,-866.2503,-1723.7506
-1017.3155,-55.7350,48.6004,-96.2500,140.0001,-910.0003
-1018.9619,-51.2225,44.6977,-87.5000,490.0002,-525.0002
